"","date","ReviewSource","brand","n"
"498",2020-06-15,"Playstore","flutterwave",16
"499",2020-06-16,"Playstore","flutterwave",5
"500",2020-06-17,"AppStore","flutterwave",2
"501",2020-06-17,"Playstore","flutterwave",6
"502",2020-06-18,"AppStore","flutterwave",1
"503",2020-06-18,"Playstore","flutterwave",7
"504",2020-06-19,"Playstore","flutterwave",8
"505",2020-06-20,"AppStore","flutterwave",1
"506",2020-06-20,"Playstore","flutterwave",8
"507",2020-06-21,"Playstore","flutterwave",3
"508",2020-06-22,"Playstore","flutterwave",11
"509",2020-06-23,"Playstore","flutterwave",13
"510",2020-06-24,"Playstore","flutterwave",11
"511",2020-06-25,"Playstore","flutterwave",4
"512",2020-06-26,"Playstore","flutterwave",4
"513",2020-06-27,"Playstore","flutterwave",6
"514",2020-06-28,"Playstore","flutterwave",8
"515",2020-06-29,"Playstore","flutterwave",7
"516",2020-06-30,"Playstore","flutterwave",5
"517",2020-07-01,"Playstore","flutterwave",10
"518",2020-07-02,"Playstore","flutterwave",10
"519",2020-07-03,"Playstore","flutterwave",11
"520",2020-07-04,"Playstore","flutterwave",10
"521",2020-07-05,"Playstore","flutterwave",6
"522",2020-07-06,"Playstore","flutterwave",8
"523",2020-07-07,"Playstore","flutterwave",9
"524",2020-07-08,"Playstore","flutterwave",17
"525",2020-07-09,"Playstore","flutterwave",4
"526",2020-07-10,"Playstore","flutterwave",4
"527",2020-07-11,"Playstore","flutterwave",4
"528",2020-07-12,"Playstore","flutterwave",3
"529",2020-07-13,"Playstore","flutterwave",6
"530",2020-07-14,"AppStore","flutterwave",1
"531",2020-07-14,"Playstore","flutterwave",8
"532",2020-07-15,"Playstore","flutterwave",8
"533",2020-07-16,"Playstore","flutterwave",2
"534",2020-07-17,"Playstore","flutterwave",4
"535",2020-07-18,"Playstore","flutterwave",5
"536",2020-07-19,"Playstore","flutterwave",6
"537",2020-07-20,"Playstore","flutterwave",3
"538",2020-07-21,"AppStore","flutterwave",1
"539",2020-07-21,"Playstore","flutterwave",7
"540",2020-07-22,"Playstore","flutterwave",7
"541",2020-07-23,"Playstore","flutterwave",6
"542",2020-07-24,"AppStore","flutterwave",1
"543",2020-07-24,"Playstore","flutterwave",4
"544",2020-07-25,"Playstore","flutterwave",9
"545",2020-07-26,"Playstore","flutterwave",6
"546",2020-07-27,"Playstore","flutterwave",3
"547",2020-07-28,"Playstore","flutterwave",5
"548",2020-07-29,"Playstore","flutterwave",6
"549",2020-07-30,"Playstore","flutterwave",12
"550",2020-07-31,"Playstore","flutterwave",8
"551",2020-08-01,"Playstore","flutterwave",4
"552",2020-08-02,"Playstore","flutterwave",13
"553",2020-08-03,"Playstore","flutterwave",8
"554",2020-08-04,"Playstore","flutterwave",6
"555",2020-08-05,"Playstore","flutterwave",11
"556",2020-08-06,"Playstore","flutterwave",6
"557",2020-08-07,"Playstore","flutterwave",8
"558",2020-08-08,"Playstore","flutterwave",13
"559",2020-08-09,"Playstore","flutterwave",8
"560",2020-08-10,"Playstore","flutterwave",9
"561",2020-08-11,"Playstore","flutterwave",5
"562",2020-08-12,"AppStore","flutterwave",1
"563",2020-08-12,"Playstore","flutterwave",8
"564",2020-08-13,"Playstore","flutterwave",9
"565",2020-08-14,"Playstore","flutterwave",6
"566",2020-08-15,"Playstore","flutterwave",7
"567",2020-08-16,"Playstore","flutterwave",10
"568",2020-08-17,"Playstore","flutterwave",11
"569",2020-08-18,"Playstore","flutterwave",16
"570",2020-08-19,"Playstore","flutterwave",8
"571",2020-08-20,"AppStore","flutterwave",2
"572",2020-08-20,"Playstore","flutterwave",11
"573",2020-08-21,"Playstore","flutterwave",13
"574",2020-08-22,"Playstore","flutterwave",11
"575",2020-08-23,"Playstore","flutterwave",4
"576",2020-08-24,"Playstore","flutterwave",6
"577",2020-08-25,"AppStore","flutterwave",1
"578",2020-08-25,"Playstore","flutterwave",9
"579",2020-08-26,"Playstore","flutterwave",6
